"model","scenario","variable","SDP","relative_change_iam_variable_pc","total_atkinson_utility_change","global_gini","global_avg_deprivation","global_avg_surplus","AggUtilitarian","Prioritarian","Egalitarian","Sufficientarian","Limitarian"
"GCAM 5.3","SSP_SSP2","Final_Energy_Transportation","RC",1.03530069789419,1.29981901949765,0.368461443905231,0,6.81093698079933,"no","yes","no","yes","no"
"GCAM 5.3","SSP_SSP3","Final_Energy_Transportation","RC",0.862995051314994,0.159225031000656,0.408957646463239,0,12.5134978677396,"no","yes","no","yes","no"
"GCAM 5.3","SSP_SSP4","Final_Energy_Transportation","RC",1.05961691781824,1.64969254893229,0.42878274572759,0,9.58593332657386,"yes","yes","no","yes","no"
"GCAM 5.3","SSP_SSP5","Final_Energy_Transportation","RC",1.35686797108934,3.36478738667502,0.318437732039245,0,9.74353776470908,"yes","yes","yes","yes","no"
"GCAM-PR 5.3","PR_CP_Intensity","Final_Energy_Transportation","RC",1.03808198458521,1.73792143273314,0.407254204143315,0,10.9361784405959,"no","yes","no","yes","no"
"GCAM-PR 5.3","PR_CP_Price","Final_Energy_Transportation","RC",1.04812594229788,1.79738970443567,0.408491285104872,0,11.247790051879,"no","yes","no","yes","no"
"GCAM-PR 5.3","PR_CP_PriceOnly","Final_Energy_Transportation","RC",1.05479037216465,1.80228897683299,0.438088419011885,0,11.9318378754474,"yes","yes","no","yes","no"
"GCAM-PR 5.3","PR_NDC_Intensity","Final_Energy_Transportation","RC",1.0059596975867,1.44936225154316,0.398846122866007,0,9.23613130453558,"no","yes","no","yes","no"
"GCAM-PR 5.3","PR_NDC_Price","Final_Energy_Transportation","RC",1.02607625850343,1.62657765348785,0.400621054363278,0,10.0009850502904,"no","yes","no","yes","no"
"GCAM-PR 5.3","PR_NDC_PriceOnly","Final_Energy_Transportation","RC",1.03323207267112,1.63732669343478,0.430209349392569,0,10.6582476915622,"no","yes","no","yes","no"
"GCAM-PR 5.3","PR_baseline","Final_Energy_Transportation","RC",1.059107261221,1.84225532852107,0.443469434986877,0,13.0299745665918,"yes","yes","no","yes","no"
"GCAM-PR 5.3","USComp+UpdPledges+RoWCond","Final_Energy_Transportation","RC",0.959315402648078,1.13923271763052,0.373360213514173,0,4.96867871769826,"no","yes","no","yes","no"
"GCAM-PR 5.3","USComp+UpdPledges+RoWRatchet","Final_Energy_Transportation","RC",0.945993034944399,0.942744188537205,0.37175496939819,0,4.70527428238761,"no","yes","no","yes","no"
"GCAM-PR 5.3","USCurM+RoWCond","Final_Energy_Transportation","RC",1.01225108732187,1.45701605596797,0.402693539371395,0,6.16747677320933,"no","yes","no","yes","no"
"GCAM-PR 5.3","USCurM+RoWUncond","Final_Energy_Transportation","RC",1.03027582805127,1.61720109096329,0.396502427519482,0,6.61045751456612,"no","yes","no","yes","no"
"GCAM-PR 5.3","USCurM+UpdPledges+RoWCond","Final_Energy_Transportation","RC",0.993532536911156,1.31663335899783,0.399165055203934,0,5.4236210198192,"no","yes","no","yes","no"
"GCAM5.2_NET","GCAM_1.5C_high_os_high-cost-DAC","Final_Energy_Transportation","RC",0.995243332853364,1.13925741281445,0.439963608285767,0,11.6347272895145,"no","yes","no","yes","no"
"GCAM5.2_NET","GCAM_1.5C_high_os_low-cost-DAC","Final_Energy_Transportation","RC",1.05249091669613,1.68193043267052,0.397443673750495,0,9.7779677155282,"yes","yes","no","yes","no"
"GCAM5.2_NET","GCAM_1.5C_low_os_high-cost-DAC","Final_Energy_Transportation","RC",0.986887629157466,1.07671635936788,0.402477154680479,0,11.1777590581725,"no","yes","no","yes","no"
"GCAM5.2_NET","GCAM_1.5C_low_os_low-cost-DAC","Final_Energy_Transportation","RC",1.04804016294775,1.64878370847111,0.39659934587132,0,9.59529993931469,"no","yes","no","yes","no"
"GCAM5.2_NET","GCAM_1.5C_low_os_noDAC","Final_Energy_Transportation","RC",0.897490185083493,0.169624712011331,0.446868704869542,0,8.34802357106292,"no","yes","no","yes","no"
"GEM-E3 V1","CD-LINKS_INDCi","Final_Energy_Transportation","RC",0.853837942736453,-0.28955901449426,0.200760204698388,0,16.8689196408334,"no","no","yes","yes","no"
"GEM-E3 V1","CD-LINKS_INDCi_recGenTaxation","Final_Energy_Transportation","RC",0.961803113022992,-0.162347394031948,0.280388233571341,0,15.7452447435303,"no","no","yes","yes","no"
"GEM-E3 V1","CD-LINKS_INDCi_recSocialSecurity","Final_Energy_Transportation","RC",0.960943600972691,-0.16234326141672,0.279205394394782,0,15.7057441040537,"no","no","yes","yes","no"
"GEM-E3 V1","CD-LINKS_NPi","Final_Energy_Transportation","RC",0.938705815737795,-0.143224772370692,0.233908313323536,0,21.4953746900658,"no","no","yes","yes","no"
"GEM-E3 V1","CD-LINKS_NPi2020_1000","Final_Energy_Transportation","RC",0.852842841858916,-0.574608856445613,0.347447498694193,0,16.7835343536849,"no","no","yes","yes","no"
"GEM-E3 V1","CD-LINKS_NPi2020_1000_recGenTaxation","Final_Energy_Transportation","RC",0.889576402765308,-0.276158901057734,0.249594684425315,0,12.4266167005536,"no","no","yes","yes","no"
"GEM-E3 V1","CD-LINKS_NPi2020_1000_recSocialSecurity","Final_Energy_Transportation","RC",0.884761442348158,-0.284012317153727,0.247141020810751,0,12.2053316180724,"no","no","yes","yes","no"
"GEM-E3 V1","CD-LINKS_NPi2020_1600","Final_Energy_Transportation","RC",0.918851694282364,-0.362577853853534,0.324457623634929,0,20.3761713532177,"no","no","yes","yes","no"
"GEM-E3 V1","CD-LINKS_NPi2020_400","Final_Energy_Transportation","RC",0.852489242026025,-0.64106411675166,0.368377138786759,0,16.7675127743079,"no","no","no","yes","no"
"GEM-E3 V1","CD-LINKS_NPi2020_400_recGenTaxation","Final_Energy_Transportation","RC",1.07925299085565,0.119713196322213,0.241833622944611,0,21.1437396866948,"yes","yes","yes","yes","no"
"GEM-E3 V1","CD-LINKS_NPi2020_400_recSocialSecurity","Final_Energy_Transportation","RC",1.03870330930453,0.036025660442168,0.247785089459029,0,19.2801645884478,"no","yes","yes","yes","no"
"GEM-E3_V2021","EN_INDCi2030_1000","Final_Energy_Transportation","RC",0.90684567463988,-0.364922570971387,0.407983116017142,0,17.3899424489381,"no","no","no","yes","no"
"GEM-E3_V2021","EN_INDCi2030_1000_COV","Final_Energy_Transportation","RC",0.944436431127374,-0.0388953618028509,0.419661512376854,-0.454528750845371,15.7510032021061,"no","no","no","no","no"
"GEM-E3_V2021","EN_INDCi2030_1000_COV_NDCp","Final_Energy_Transportation","RC",0.951727576514994,0.0195804089356599,0.418632410653222,-0.338188819472387,15.9880194361855,"no","yes","no","no","no"
"GEM-E3_V2021","EN_INDCi2030_1000_NDCp","Final_Energy_Transportation","RC",0.907742216484603,-0.356987786178216,0.407754309526908,0,17.4194191737349,"no","no","no","yes","no"
"GEM-E3_V2021","EN_INDCi2030_1000f","Final_Energy_Transportation","RC",0.94261977859142,-0.0622488652254205,0.402159758349444,0,9.6234771056791,"no","no","no","yes","no"
"GEM-E3_V2021","EN_INDCi2030_1000f_COV","Final_Energy_Transportation","RC",0.978085034117003,0.236248905499654,0.381984073171337,0,8.51593189598847,"no","yes","no","yes","no"
"GEM-E3_V2021","EN_INDCi2030_1000f_COV_NDCp","Final_Energy_Transportation","RC",0.981092125532247,0.260738473130971,0.38147836051061,0,8.58813448615948,"no","yes","no","yes","no"
"GEM-E3_V2021","EN_INDCi2030_1000f_NDCp","Final_Energy_Transportation","RC",0.94534448087274,-0.0396158357529792,0.40160293068525,0,9.69232613714392,"no","no","no","yes","no"
"GEM-E3_V2021","EN_INDCi2030_1400","Final_Energy_Transportation","RC",0.986960653049498,0.304207177332774,0.364357875600968,0,10.8408844589237,"no","yes","no","yes","no"
"GEM-E3_V2021","EN_INDCi2030_1400f","Final_Energy_Transportation","RC",0.986960653049498,0.304207177332774,0.364357875600968,0,10.8408844589237,"no","yes","no","yes","no"
"GEM-E3_V2021","EN_INDCi2030_1800","Final_Energy_Transportation","RC",1.01422275645582,0.524969326917752,0.360819780311785,0,11.6047523309477,"no","yes","no","yes","no"
"GEM-E3_V2021","EN_INDCi2030_1800f","Final_Energy_Transportation","RC",1.01422275645582,0.524969326917752,0.360819780311785,0,11.6047523309477,"no","yes","no","yes","no"
"GEM-E3_V2021","EN_INDCi2030_600f","Final_Energy_Transportation","RC",0.851372112582005,-0.83244551210672,0.414414715470807,-0.678652227843669,15.3239322233002,"no","no","no","no","no"
"GEM-E3_V2021","EN_INDCi2030_600f_COV","Final_Energy_Transportation","RC",0.884266183968034,-0.52707146645221,0.426419860125889,-1.25321061880554,13.6858154106264,"no","no","no","no","no"
